date,Temp_out,Press_mm_hg,Windspeed,Visibility,lights,Appliances
2016-01-12 08:50,4.85,742.20,5.00,40.00,0,60
2016-01-12 09:00,4.80,742.30,5.00,40.00,0,50
2016-01-12 09:10,4.88,742.40,5.00,38.20,0,60
2016-01-12 09:20,4.97,742.50,5.00,36.30,0,50
2016-01-12 09:30,5.05,742.50,5.00,34.50,0,30
2016-01-12 09:40,5.13,742.60,5.00,32.70,0,40
2016-01-12 09:50,5.22,742.70,5.00,30.80,0,30
2016-01-12 10:00,5.30,742.80,5.00,29.00,0,260
2016-01-12 10:10,5.48,742.90,5.00,30.80,0,500
2016-01-12 10:20,5.67,743.00,5.00,32.70,0,450
2016-01-12 10:30,5.85,743.00,5.00,34.50,10,50
2016-01-12 10:40,6.03,743.10,5.00,36.30,0,60
2016-01-12 10:50,6.22,743.20,5.00,38.20,0,60
2016-01-12 11:00,6.40,743.30,5.00,40.00,0,50
2016-01-12 11:10,6.50,743.30,5.30,38.00,0,50
2016-01-12 11:20,6.60,743.40,5.70,36.00,0,50
2016-01-12 11:30,6.70,743.40,6.00,34.00,0,60
2016-01-12 11:40,6.80,743.40,6.30,32.00,0,60
2016-01-12 11:50,6.90,743.50,6.70,30.00,0,60
2016-01-12 12:00,7.00,743.50,7.00,28.00,0,60
2016-01-12 12:10,7.08,743.50,7.00,30.00,0,190
2016-01-12 12:20,7.17,743.50,7.00,32.00,0,220
2016-01-12 12:30,7.25,743.50,7.00,34.00,0,170
2016-01-12 12:40,7.33,743.50,7.00,36.00,0,390
2016-01-12 12:50,7.42,743.50,7.00,38.00,0,90
2016-01-12 13:00,7.50,743.50,7.00,40.00,0,60
2016-01-12 13:10,7.42,743.50,7.20,40.00,0,290
2016-01-12 13:20,7.33,743.50,7.30,40.00,0,130
2016-01-12 13:30,7.25,743.50,7.50,40.00,0,140
2016-01-12 13:40,7.17,743.50,7.70,40.00,0,240
2016-01-12 13:50,7.08,743.50,7.80,40.00,0,50
2016-01-12 14:00,7.00,743.50,8.00,40.00,0,60
2016-01-12 14:10,6.98,743.50,7.50,40.00,0,60
2016-01-12 14:20,6.97,743.60,7.00,40.00,0,60
2016-01-12 14:30,6.95,743.60,6.50,40.00,0,370
2016-01-12 14:40,6.93,743.70,6.00,40.00,0,200
2016-01-12 14:50,6.92,743.80,5.50,40.00,0,70
2016-01-12 15:00,6.90,743.80,5.00,40.00,0,50
2016-01-12 15:10,6.80,743.80,4.80,40.00,0,40
2016-01-12 15:20,6.70,743.80,4.70,40.00,0,40
2016-01-12 15:30,6.60,743.90,4.50,40.00,0,30
2016-01-12 15:40,6.50,743.90,4.30,40.00,0,30
2016-01-12 15:50,6.40,743.90,4.20,40.00,0,30
2016-01-12 16:00,6.30,743.90,4.00,40.00,0,30
2016-01-12 16:10,6.33,744.00,4.50,38.20,0,40
2016-01-12 16:20,6.37,744.00,5.00,36.30,0,50
2016-01-12 16:30,6.40,744.00,5.50,34.50,0,40
2016-01-12 16:40,6.43,744.10,6.00,32.70,0,40
2016-01-12 16:50,6.47,744.10,6.50,30.80,0,40
2016-01-12 17:00,6.50,744.20,7.00,29.00,0,60
2016-01-12 17:10,6.32,744.30,7.00,30.80,10,60
2016-01-12 17:20,6.13,744.40,7.00,32.70,20,210
2016-01-12 17:30,5.95,744.50,7.00,34.50,20,380
2016-01-12 17:40,5.77,744.50,7.00,36.30,40,370
2016-01-12 17:50,5.58,744.60,7.00,38.20,30,230
2016-01-12 18:00,5.40,744.70,7.00,40.00,40,80
2016-01-12 18:10,5.30,744.80,6.80,40.00,30,90
2016-01-12 18:20,5.20,744.80,6.70,40.00,20,70
2016-01-12 18:30,5.10,744.90,6.50,40.00,10,40
2016-01-12 18:40,5.00,744.90,6.30,40.00,0,40
2016-01-12 18:50,4.90,745.00,6.20,40.00,0,30
2016-01-12 19:00,4.80,745.00,6.00,40.00,0,50
2016-01-12 19:10,4.75,745.00,6.20,40.00,0,50
2016-01-12 19:20,4.70,745.10,6.30,40.00,0,60
2016-01-12 19:30,4.65,745.10,6.50,40.00,0,50
2016-01-12 19:40,4.60,745.10,6.70,40.00,0,60
2016-01-12 19:50,4.55,745.20,6.80,40.00,0,60
2016-01-12 20:00,4.50,745.20,7.00,40.00,0,60
2016-01-12 20:10,4.53,745.30,6.80,40.00,0,50
2016-01-12 20:20,4.57,745.40,6.70,40.00,0,50
2016-01-12 20:30,4.60,745.50,6.50,40.00,0,50
2016-01-12 20:40,4.63,745.70,6.30,40.00,0,50
2016-01-12 20:50,4.67,745.80,6.20,40.00,0,50
2016-01-12 21:00,4.70,745.90,6.00,40.00,0,60
2016-01-12 21:10,4.80,746.00,6.20,38.20,0,60
2016-01-12 21:20,4.90,746.00,6.30,36.30,0,40
2016-01-12 21:30,5.00,746.00,6.50,34.50,0,30
2016-01-12 21:40,5.10,746.10,6.70,32.70,20,30
2016-01-12 21:50,5.20,746.10,6.80,30.80,10,30
2016-01-12 22:00,5.30,746.20,7.00,29.00,0,40
2016-01-12 22:10,5.33,746.30,6.80,30.80,10,50
2016-01-12 22:20,5.37,746.30,6.70,32.70,0,50
2016-01-12 22:30,5.40,746.40,6.50,34.50,0,50
2016-01-12 22:40,5.43,746.50,6.30,36.30,0,40
2016-01-12 22:50,5.47,746.50,6.20,38.20,0,50
2016-01-12 23:00,5.50,746.60,6.00,40.00,0,40
2016-01-12 23:10,5.58,746.70,6.30,40.00,0,40
2016-01-12 23:20,5.67,746.90,6.70,40.00,0,40
2016-01-12 23:30,5.75,747.00,7.00,40.00,0,40
2016-01-12 23:40,5.83,747.10,7.30,40.00,0,50
2016-01-12 23:50,5.92,747.30,7.70,40.00,0,50
2016-01-13 00:00,6.00,747.40,8.00,40.00,0,50
2016-01-13 00:10,5.88,747.50,8.00,37.80,0,30
2016-01-13 00:20,5.77,747.70,8.00,35.70,0,20
2016-01-13 00:30,5.65,747.80,8.00,33.50,0,30
2016-01-13 00:40,5.53,747.90,8.00,31.30,0,20
2016-01-13 00:50,5.42,748.10,8.00,29.20,0,40
2016-01-13 01:00,5.30,748.20,8.00,27.00,0,50
2016-01-13 01:10,5.30,748.30,8.00,26.00,0,60
2016-01-13 01:20,5.30,748.40,8.00,25.00,0,50
2016-01-13 01:30,5.30,748.50,8.00,24.00,0,40
2016-01-13 01:40,5.30,748.70,8.00,23.00,0,40
2016-01-13 01:50,5.30,748.80,8.00,22.00,0,50
2016-01-13 02:00,5.30,748.90,8.00,21.00,0,40
2016-01-13 02:10,5.33,749.10,8.00,21.50,0,40
2016-01-13 02:20,5.37,749.30,8.00,22.00,0,50
2016-01-13 02:30,5.40,749.50,8.00,22.50,0,50
2016-01-13 02:40,5.43,749.60,8.00,23.00,0,50
2016-01-13 02:50,5.47,749.80,8.00,23.50,0,40
2016-01-13 03:00,5.50,750.00,8.00,24.00,0,30
2016-01-13 03:10,5.48,750.20,8.00,24.00,0,20
2016-01-13 03:20,5.47,750.40,8.00,24.00,0,20
2016-01-13 03:30,5.45,750.60,8.00,24.00,0,20
2016-01-13 03:40,5.43,750.80,8.00,24.00,0,50
2016-01-13 03:50,5.42,751.00,8.00,24.00,0,50
2016-01-13 04:00,5.40,751.20,8.00,24.00,0,50
2016-01-13 04:10,5.37,751.30,8.00,23.70,0,40
2016-01-13 04:20,5.33,751.40,8.00,23.30,0,40
2016-01-13 04:30,5.30,751.50,8.00,23.00,0,50
2016-01-13 04:40,5.27,751.70,8.00,22.70,0,40
2016-01-13 04:50,5.23,751.80,8.00,22.30,0,50
2016-01-13 05:00,5.20,751.90,8.00,22.00,0,50
2016-01-13 05:10,5.17,752.00,7.80,22.20,0,50
2016-01-13 05:20,5.13,752.20,7.70,22.30,0,40
2016-01-13 05:30,5.10,752.40,7.50,22.50,0,40
2016-01-13 05:40,5.07,752.50,7.30,22.70,0,50
2016-01-13 05:50,5.03,752.60,7.20,22.80,0,20
2016-01-13 06:00,5.00,752.80,7.00,23.00,0,20
2016-01-13 06:10,5.02,753.00,6.80,25.80,0,50
2016-01-13 06:20,5.03,753.20,6.70,28.70,10,30
2016-01-13 06:30,5.05,753.40,6.50,31.50,10,50
2016-01-13 06:40,5.07,753.50,6.30,34.30,10,50
2016-01-13 06:50,5.08,753.70,6.20,37.20,0,200
2016-01-13 07:00,5.10,753.90,6.00,40.00,10,110
2016-01-13 07:10,5.08,754.00,5.80,36.70,10,80
2016-01-13 07:20,5.07,754.00,5.70,33.30,0,50
2016-01-13 07:30,5.05,754.10,5.50,30.00,0,50
2016-01-13 07:40,5.03,754.20,5.30,26.70,0,50
2016-01-13 07:50,5.02,754.20,5.20,23.30,0,40
2016-01-13 08:00,5.00,754.30,5.00,20.00,0,40
2016-01-13 08:10,5.00,754.50,4.80,21.50,0,30
2016-01-13 08:20,5.00,754.60,4.70,23.00,20,180
2016-01-13 08:30,5.00,754.80,4.50,24.50,30,350
2016-01-13 08:40,5.00,754.90,4.30,26.00,20,350
2016-01-13 08:50,5.00,755.00,4.20,27.50,30,300
2016-01-13 09:00,5.00,755.20,4.00,29.00,20,400
2016-01-13 09:10,5.00,755.30,4.20,30.80,30,390
2016-01-13 09:20,5.00,755.40,4.30,32.70,30,290
2016-01-13 09:30,5.00,755.50,4.50,34.50,30,60
2016-01-13 09:40,5.00,755.70,4.70,36.30,20,70
2016-01-13 09:50,5.00,755.80,4.80,38.20,30,110
2016-01-13 10:00,5.00,755.90,5.00,40.00,20,90
2016-01-13 10:10,5.08,756.00,5.00,38.20,20,60
2016-01-13 10:20,5.17,756.20,5.00,36.30,20,70
2016-01-13 10:30,5.25,756.30,5.00,34.50,20,80
2016-01-13 10:40,5.33,756.40,5.00,32.70,0,60
2016-01-13 10:50,5.42,756.60,5.00,30.80,10,40
2016-01-13 11:00,5.50,756.70,5.00,29.00,10,30
2016-01-13 11:10,5.58,756.80,5.20,30.80,10,70
2016-01-13 11:20,5.67,756.90,5.30,32.70,10,50
2016-01-13 11:30,5.75,757.00,5.50,34.50,10,80
2016-01-13 11:40,5.83,757.00,5.70,36.30,10,80
2016-01-13 11:50,5.92,757.10,5.80,38.20,0,50
2016-01-13 12:00,6.00,757.20,6.00,40.00,0,40
2016-01-13 12:10,5.92,757.30,5.80,38.20,0,50
2016-01-13 12:20,5.83,757.40,5.70,36.30,0,40
2016-01-13 12:30,5.75,757.50,5.50,34.50,0,40
2016-01-13 12:40,5.67,757.50,5.30,32.70,0,50
2016-01-13 12:50,5.58,757.60,5.20,30.80,0,30
2016-01-13 13:00,5.50,757.70,5.00,29.00,0,30
2016-01-13 13:10,5.73,757.70,5.00,28.70,0,20
2016-01-13 13:20,5.97,757.70,5.00,28.30,0,20
2016-01-13 13:30,6.20,757.60,5.00,28.00,0,50
2016-01-13 13:40,6.43,757.60,5.00,27.70,0,40
2016-01-13 13:50,6.67,757.60,5.00,27.30,0,50
2016-01-13 14:00,6.90,757.60,5.00,27.00,0,40
2016-01-13 14:10,6.80,757.50,5.20,29.20,0,60
2016-01-13 14:20,6.70,757.50,5.30,31.30,0,40
2016-01-13 14:30,6.60,757.50,5.50,33.50,0,40
2016-01-13 14:40,6.50,757.40,5.70,35.70,0,50
2016-01-13 14:50,6.40,757.40,5.80,37.80,0,40
2016-01-13 15:00,6.30,757.30,6.00,40.00,0,40
2016-01-13 15:10,6.32,757.30,5.70,40.00,0,30
2016-01-13 15:20,6.33,757.30,5.30,40.00,0,30
2016-01-13 15:30,6.35,757.40,5.00,40.00,0,30
2016-01-13 15:40,6.37,757.40,4.70,40.00,0,40
2016-01-13 15:50,6.38,757.40,4.30,40.00,0,80
2016-01-13 16:00,6.40,757.40,4.00,40.00,0,70
2016-01-13 16:10,6.17,757.40,3.80,40.00,0,80
2016-01-13 16:20,5.93,757.40,3.70,40.00,0,70
2016-01-13 16:30,5.70,757.40,3.50,40.00,0,80
2016-01-13 16:40,5.47,757.30,3.30,40.00,0,80
2016-01-13 16:50,5.23,757.30,3.20,40.00,0,100
2016-01-13 17:00,5.00,757.30,3.00,40.00,0,90
2016-01-13 17:10,4.78,757.30,3.00,40.00,10,100
2016-01-13 17:20,4.57,757.30,3.00,40.00,0,90
2016-01-13 17:30,4.35,757.30,3.00,40.00,0,110
2016-01-13 17:40,4.13,757.30,3.00,40.00,10,90
2016-01-13 17:50,3.92,757.30,3.00,40.00,0,100
2016-01-13 18:00,3.70,757.30,3.00,40.00,10,100
2016-01-13 18:10,3.53,757.30,3.00,38.20,0,110
2016-01-13 18:20,3.37,757.30,3.00,36.30,10,100
2016-01-13 18:30,3.20,757.30,3.00,34.50,10,90
2016-01-13 18:40,3.03,757.30,3.00,32.70,10,90
2016-01-13 18:50,2.87,757.30,3.00,30.80,10,180
2016-01-13 19:00,2.70,757.30,3.00,29.00,0,140
2016-01-13 19:10,2.78,757.20,3.30,29.00,10,100
2016-01-13 19:20,2.87,757.20,3.70,29.00,20,110
2016-01-13 19:30,2.95,757.10,4.00,29.00,20,340
2016-01-13 19:40,3.03,757.00,4.30,29.00,20,380
2016-01-13 19:50,3.12,757.00,4.70,29.00,30,210
2016-01-13 20:00,3.20,756.90,5.00,29.00,20,150
2016-01-13 20:10,3.17,756.90,5.00,30.80,20,330
2016-01-13 20:20,3.13,756.90,5.00,32.70,20,420
2016-01-13 20:30,3.10,756.90,5.00,34.50,20,330
2016-01-13 20:40,3.07,756.90,5.00,36.30,20,130
2016-01-13 20:50,3.03,756.90,5.00,38.20,20,130
2016-01-13 21:00,3.00,756.90,5.00,40.00,20,110
2016-01-13 21:10,2.95,756.80,5.00,38.20,10,250
2016-01-13 21:20,2.90,756.70,5.00,36.30,0,520
2016-01-13 21:30,2.85,756.60,5.00,34.50,0,360
2016-01-13 21:40,2.80,756.60,5.00,32.70,0,330
2016-01-13 21:50,2.75,756.50,5.00,30.80,0,310
2016-01-13 22:00,2.70,756.40,5.00,29.00,0,270
2016-01-13 22:10,2.78,756.30,5.20,30.80,0,230
2016-01-13 22:20,2.87,756.20,5.30,32.70,10,170
2016-01-13 22:30,2.95,756.10,5.50,34.50,0,60
2016-01-13 22:40,3.03,756.10,5.70,36.30,0,30
2016-01-13 22:50,3.12,756.00,5.80,38.20,0,30
2016-01-13 23:00,3.20,755.90,6.00,40.00,0,30
2016-01-13 23:10,3.13,755.80,5.80,38.20,0,40
2016-01-13 23:20,3.07,755.80,5.70,36.30,0,50
2016-01-13 23:30,3.00,755.70,5.50,34.50,0,50
2016-01-13 23:40,2.93,755.60,5.30,32.70,0,40
2016-01-13 23:50,2.87,755.60,5.20,30.80,0,40
2016-01-14 00:00,2.80,755.50,5.00,29.00,0,50
2016-01-14 00:10,2.82,755.40,5.00,28.70,0,50
2016-01-14 00:20,2.83,755.20,5.00,28.30,0,40
2016-01-14 00:30,2.85,755.10,5.00,28.00,0,60
2016-01-14 00:40,2.87,755.00,5.00,27.70,0,40
2016-01-14 00:50,2.88,754.80,5.00,27.30,0,40
2016-01-14 01:00,2.90,754.70,5.00,27.00,0,50
2016-01-14 01:10,2.88,754.60,5.00,27.20,0,40
2016-01-14 01:20,2.87,754.40,5.00,27.30,0,30
2016-01-14 01:30,2.85,754.30,5.00,27.50,0,30
2016-01-14 01:40,2.83,754.20,5.00,27.70,0,30
2016-01-14 01:50,2.82,754.00,5.00,27.80,0,40
2016-01-14 02:00,2.80,753.90,5.00,28.00,0,40
2016-01-14 02:10,2.87,753.70,5.20,30.00,0,50
2016-01-14 02:20,2.93,753.60,5.30,32.00,0,40
2016-01-14 02:30,3.00,753.40,5.50,34.00,0,40
2016-01-14 02:40,3.07,753.20,5.70,36.00,0,40
2016-01-14 02:50,3.13,753.10,5.80,38.00,0,50
2016-01-14 03:00,3.20,752.90,6.00,40.00,0,50
2016-01-14 03:10,3.23,752.80,5.80,38.00,0,50
2016-01-14 03:20,3.27,752.60,5.70,36.00,0,40
2016-01-14 03:30,3.30,752.50,5.50,34.00,0,50
2016-01-14 03:40,3.33,752.40,5.30,32.00,0,40
2016-01-14 03:50,3.37,752.20,5.20,30.00,0,40
2016-01-14 04:00,3.40,752.10,5.00,28.00,0,20
2016-01-14 04:10,3.38,751.90,5.20,28.20,0,30
2016-01-14 04:20,3.37,751.70,5.30,28.30,0,30
2016-01-14 04:30,3.35,751.50,5.50,28.50,0,40
2016-01-14 04:40,3.33,751.40,5.70,28.70,0,50
2016-01-14 04:50,3.32,751.20,5.80,28.80,0,40
2016-01-14 05:00,3.30,751.00,6.00,29.00,0,40
2016-01-14 05:10,3.32,750.90,5.80,28.70,0,50
2016-01-14 05:20,3.33,750.70,5.70,28.30,0,40
2016-01-14 05:30,3.35,750.60,5.50,28.00,0,50
2016-01-14 05:40,3.37,750.50,5.30,27.70,0,50
2016-01-14 05:50,3.38,750.30,5.20,27.30,0,40
2016-01-14 06:00,3.40,750.20,5.00,27.00,0,50
2016-01-14 06:10,3.50,750.10,5.70,27.20,0,40
2016-01-14 06:20,3.60,750.00,6.30,27.30,0,40
2016-01-14 06:30,3.70,749.90,7.00,27.50,0,40
2016-01-14 06:40,3.80,749.70,7.70,27.70,0,40
2016-01-14 06:50,3.90,749.60,8.30,27.80,10,30
2016-01-14 07:00,4.00,749.50,9.00,28.00,10,70
2016-01-14 07:10,3.95,749.40,8.80,26.70,20,360
2016-01-14 07:20,3.90,749.30,8.70,25.30,10,400
2016-01-14 07:30,3.85,749.20,8.50,24.00,10,70
2016-01-14 07:40,3.80,749.10,8.30,22.70,0,70
2016-01-14 07:50,3.75,749.00,8.20,21.30,0,390
2016-01-14 08:00,3.70,748.90,8.00,20.00,0,100
2016-01-14 08:10,3.30,749.00,7.20,22.50,10,80
2016-01-14 08:20,2.90,749.10,6.30,25.00,0,70
2016-01-14 08:30,2.50,749.20,5.50,27.50,10,170
2016-01-14 08:40,2.10,749.30,4.70,30.00,0,360
2016-01-14 08:50,1.70,749.40,3.80,32.50,10,180
2016-01-14 09:00,1.30,749.50,3.00,35.00,0,130
2016-01-14 09:10,1.40,749.40,3.50,35.80,20,70
2016-01-14 09:20,1.50,749.20,4.00,36.70,10,70
2016-01-14 09:30,1.60,749.10,4.50,37.50,20,180
2016-01-14 09:40,1.70,749.00,5.00,38.30,20,170
2016-01-14 09:50,1.80,748.80,5.50,39.20,30,390
2016-01-14 10:00,1.90,748.70,6.00,40.00,20,420
2016-01-14 10:10,1.97,748.70,5.70,40.00,20,340
2016-01-14 10:20,2.03,748.80,5.30,40.00,10,550
2016-01-14 10:30,2.10,748.80,5.00,40.00,10,690
2016-01-14 10:40,2.17,748.80,4.70,40.00,10,620
2016-01-14 10:50,2.23,748.90,4.30,40.00,10,610
2016-01-14 11:00,2.30,748.90,4.00,40.00,10,490
2016-01-14 11:10,2.40,748.90,4.20,40.00,20,260
2016-01-14 11:20,2.50,748.80,4.30,40.00,10,240
2016-01-14 11:30,2.60,748.80,4.50,40.00,10,220
2016-01-14 11:40,2.70,748.70,4.70,40.00,10,130
2016-01-14 11:50,2.80,748.60,4.80,40.00,10,90
2016-01-14 12:00,2.90,748.60,5.00,40.00,10,290
2016-01-14 12:10,3.12,748.50,5.20,40.00,0,410
2016-01-14 12:20,3.33,748.50,5.30,40.00,0,320
2016-01-14 12:30,3.55,748.50,5.50,40.00,0,260
2016-01-14 12:40,3.77,748.40,5.70,40.00,0,210
2016-01-14 12:50,3.98,748.40,5.80,40.00,0,210
2016-01-14 13:00,4.20,748.30,6.00,40.00,0,140
2016-01-14 13:10,4.30,748.20,6.00,40.00,0,60
2016-01-14 13:20,4.40,748.10,6.00,40.00,0,50
2016-01-14 13:30,4.50,748.00,6.00,40.00,0,60
2016-01-14 13:40,4.60,748.00,6.00,40.00,0,50
2016-01-14 13:50,4.70,747.90,6.00,40.00,0,60
2016-01-14 14:00,4.80,747.80,6.00,40.00,0,140
2016-01-14 14:10,4.92,747.70,6.00,40.00,0,270
2016-01-14 14:20,5.03,747.70,6.00,40.00,0,200
2016-01-14 14:30,5.15,747.60,6.00,40.00,0,60
2016-01-14 14:40,5.27,747.50,6.00,40.00,0,50
2016-01-14 14:50,5.38,747.50,6.00,40.00,0,60
2016-01-14 15:00,5.50,747.40,6.00,40.00,0,80
2016-01-14 15:10,5.48,747.40,6.00,40.00,0,50
2016-01-14 15:20,5.47,747.50,6.00,40.00,0,40
2016-01-14 15:30,5.45,747.50,6.00,40.00,0,50
2016-01-14 15:40,5.43,747.50,6.00,40.00,0,50
2016-01-14 15:50,5.42,747.60,6.00,40.00,0,40
2016-01-14 16:00,5.40,747.60,6.00,40.00,0,30
2016-01-14 16:10,5.27,747.60,6.20,40.00,0,30
2016-01-14 16:20,5.13,747.70,6.30,40.00,0,200
2016-01-14 16:30,5.00,747.80,6.50,40.00,0,450
2016-01-14 16:40,4.87,747.80,6.70,40.00,0,400
2016-01-14 16:50,4.73,747.90,6.80,40.00,0,740
2016-01-14 17:00,4.60,747.90,7.00,40.00,0,910
2016-01-14 17:10,4.58,747.90,6.80,40.00,10,610
2016-01-14 17:20,4.57,748.00,6.70,40.00,10,510
2016-01-14 17:30,4.55,748.00,6.50,40.00,0,190
2016-01-14 17:40,4.53,748.00,6.30,40.00,10,110
2016-01-14 17:50,4.52,748.10,6.20,40.00,0,100
2016-01-14 18:00,4.50,748.10,6.00,40.00,10,90
2016-01-14 18:10,4.42,748.20,6.20,40.00,10,110
2016-01-14 18:20,4.33,748.20,6.30,40.00,0,100
2016-01-14 18:30,4.25,748.30,6.50,40.00,10,110
2016-01-14 18:40,4.17,748.40,6.70,40.00,10,100
2016-01-14 18:50,4.08,748.40,6.80,40.00,10,790
2016-01-14 19:00,4.00,748.50,7.00,40.00,10,380
2016-01-14 19:10,3.90,748.50,7.20,40.00,10,360
2016-01-14 19:20,3.80,748.60,7.30,40.00,10,360
2016-01-14 19:30,3.70,748.60,7.50,40.00,10,100
2016-01-14 19:40,3.60,748.70,7.70,40.00,10,100
