date,pH,Oxygen,Chloride,Nitrates,Ammonium,Orthophosphate,Phosphate,Chlorophyll,fluid_velocity,river_depth,season
2018-12-31,8.0,9.8,16.0,0.73,20.0,26.0,45.0,0.8,high,low,winter
2019-01-01,8.1,10.3,26.0,3.78,60.0,246.0,304.0,2.8,high,low,winter
2019-01-02,8.27,7.8,29.2,0.05,7.4,23.0,0.9,5.3,medium,low,winter
2019-01-03,8.3,10.9,1.17,0.74,13.5,1.63,3.0,0.2,high,low,winter
2019-01-04,8.3,8.9,20.63,3.41,228.75,196.62,253.25,12.32,medium,low,winter
2019-01-05,8.0,5.5,77.0,6.1,122.85,143.71,296.0,3.7,medium,low,winter
2019-01-06,8.3,7.7,50.0,8.54,76.0,264.9,344.6,22.5,high,low,winter
2019-01-07,8.4,13.4,69.75,4.56,37.5,10.0,40.67,3.9,high,low,winter
2019-01-08,8.01175879396985,12.6,9.0,0.23,10.0,5.0,6.0,1.1,low,low,winter
2019-01-09,7.6,10.2,32.3,4.51,192.5,12.75,49.33,7.9,medium,low,winter
2019-01-10,7.9,11.0,6.17,1.17,18.33,7.75,11.8,0.5,high,low,winter
2019-01-11,6.6,10.8,43.636842105263156,3.25,10.0,1.0,6.5,13.541010638297873,high,low,winter
2019-01-12,7.44,10.1,2.93,0.77,15.0,1.33,6.0,0.6,high,low,winter
2019-01-13,7.5,1.5,32.4,0.92,220.75,351.6,10.0,0.0,medium,low,winter
2019-01-14,8.1,8.1,136.0,3.77,245.0,136.75,249.25,20.87,medium,medium,winter
2019-01-15,8.0,5.9,27.4,0.74,133.64,36.0,105.73,3.0,medium,medium,winter
2019-01-16,7.5,9.2,11.0,3.31,101.0,26.6,108.0,1.3,high,medium,winter
2019-01-17,7.4,8.9,13.5,5.44,123.33,27.67,104.0,21.0,high,medium,winter
2019-01-18,7.6,6.0,53.0,3.73,914.0,137.6,254.6,4.3,medium,medium,winter
2019-01-19,7.8,3.6,48.67,4.03,412.33,607.17,4.3,0.0,medium,medium,winter
2019-01-20,8.5,8.6,125.6,3.78,124.17,197.83,303.33,40.0,medium,medium,winter
2019-01-21,8.8,8.5,53.33,5.13,96.67,120.5,232.83,31.0,high,medium,winter
2019-01-22,9.1,5.4,61.05,0.31,105.56,104.22,239.0,72.48,low,medium,winter
2019-01-23,7.9,6.3,101.88,3.98,153.75,51.75,205.88,2.0,high,medium,winter
2019-01-24,7.7,7.1,63.63,3.14,122.5,28.63,186.5,30.0,medium,medium,winter
2019-01-25,7.7,5.3,65.33,2.9,371.11,51.11,183.67,17.2,low,medium,winter
2019-01-26,8.7,7.4,47.78,2.32,38.11,24.67,201.78,3.0,low,medium,winter
2019-01-27,8.43,6.0,40.17,2.67,723.67,60.83,141.83,25.0,high,medium,winter
2019-01-28,8.7,9.8,5.89,1.53,51.11,9.67,17.33,1.0,high,medium,winter
2019-01-29,9.7,10.8,0.22,0.41,10.0,22.44,10.11,13.541010638297873,high,medium,winter
2019-01-30,8.2,9.4,45.27,7.2,345.45,144.0,287.0,9.88,medium,medium,winter
2019-01-31,7.4,10.7,11.82,2.16,170.91,36.91,122.0,5.56,high,medium,winter
2019-02-01,9.1,11.6,31.09,5.1,246.36,55.0,284.0,88.26,medium,medium,winter
2019-02-02,8.5,10.1,10.94,1.34,236.0,34.64,72.9,11.1,high,medium,winter
2019-02-03,7.9,9.8,194.75,6.51,23.0,173.75,15.3,0.0,medium,medium,winter
2019-02-04,8.43,9.9,37.6,0.83,124.0,32.5,115.0,11.7,low,medium,winter
2019-02-05,7.9,11.2,49.9,9.77,505.0,67.5,143.75,5.45,medium,medium,winter
2019-02-06,8.0,4.5,79.08,8.98,920.0,70.0,200.23,19.4,low,medium,winter
2019-02-07,8.22,8.1,41.25,1.42,172.5,46.67,123.33,30.4,high,medium,winter
2019-02-08,8.47,9.0,46.17,2.1,84.67,48.0,116.2,7.3,high,medium,winter
2019-02-09,8.3,11.5,26.0,1.87,62.5,30.75,75.33,34.75,low,high,winter
2019-02-10,7.3,9.9,16.0,4.82,101.67,14.67,85.0,2.0,high,high,winter
2019-02-11,8.56,8.7,43.97,4.05,643.0,221.9,246.67,14.7,low,high,winter
2019-02-12,8.24,6.1,95.37,3.56,236.4,272.22,20.58,2.5,medium,high,winter
2019-02-13,8.21,9.3,104.82,3.91,124.36,82.22,167.9,5.61,medium,high,winter
2019-02-14,9.06,6.35,187.18,3.35,54.78,159.17,221.28,20.8,medium,high,winter
2019-02-15,8.5,10.5,2.75,0.76,10.5,4.0,7.65,4.0,medium,high,winter
2019-02-16,8.0,10.9,9.06,0.83,40.0,21.08,56.09,13.541010638297873,high,high,winter
2019-02-17,8.7,10.8,39.11,6.23,161.82,104.73,228.36,46.08,low,high,winter
2019-02-18,8.7,11.7,22.46,3.77,88.18,41.3,85.4,17.49,low,high,winter
2019-02-19,8.4,10.5,12.18,1.52,65.46,19.73,50.46,8.16,medium,high,winter
2019-02-20,8.0,7.6,43.636842105263156,3.282828282828283,154.44747474747476,83.32590909090908,111.55080808080808,13.541010638297873,medium,high,winter
2019-03-21,8.35,8.0,57.75,1.29,370.0,428.75,558.75,1.3,medium,low,spring
2019-03-23,8.07,4.8,77.36,2.3,98.18,61.18,138.7,1.4,medium,low,spring
2019-03-25,7.7,10.2,8.0,1.53,21.57,12.75,20.75,0.8,high,low,spring
2019-03-27,7.61,9.8,7.0,1.44,31.33,20.0,57.83,0.4,high,low,spring
2019-03-29,7.79,3.2,64.0,2.82,564.6,771.6,4.5,0.0,medium,low,spring
2019-03-31,7.2,9.2,0.8,0.64,81.0,15.6,18.0,0.5,high,low,spring
2019-04-02,7.84,9.4,10.98,1.51,12.5,3.0,11.5,1.5,high,low,spring
2019-04-04,7.2,11.3,9.0,0.23,120.0,12.0,19.0,0.5,high,low,spring
2019-04-06,8.0,9.117777777777778,1.45,0.81,10.0,2.5,3.0,0.3,high,low,spring
2019-04-08,8.1,10.5,22.29,4.07,178.57,182.42,255.28,8.96,medium,low,spring
2019-04-10,8.3,8.8,54.14,7.83,51.43,276.85,326.86,11.84,high,low,spring
2019-04-12,8.3,12.5,87.0,4.87,22.5,27.0,43.5,3.3,high,low,spring
2019-04-14,7.6,9.6,15.0,3.02,40.0,27.0,121.0,2.8,medium,low,spring
2019-04-16,7.9,9.0,5.27,0.91,33.64,9.0,11.82,0.8,high,low,spring
2019-04-18,5.6,11.8,43.636842105263156,2.22,5.0,1.0,1.0,13.541010638297873,medium,low,spring
2019-04-20,6.6,9.5,43.636842105263156,1.32,20.0,1.0,6.0,13.541010638297873,high,low,spring
2019-04-22,6.5,10.4,43.636842105263156,5.97,10.0,2.0,14.0,13.541010638297873,medium,low,spring
2019-04-24,7.57,10.8,4.58,1.2,27.5,2.0,6.75,1.0,high,low,spring
2019-04-26,7.14,9.8,3.28,0.92,15.0,1.25,10.75,2.5,high,low,spring
2019-04-28,7.5,1.8,29.78,1.05,209.86,313.6,1.0,1.9,medium,low,spring
2019-04-30,8.2,6.8,129.38,3.32,271.25,100.0,233.5,13.0,medium,medium,spring
2019-05-02,9.1,9.4,35.75,5.16,32.5,85.5,215.5,18.37,high,medium,spring
2019-05-04,8.0,3.3,26.76,0.66,165.0,37.38,111.38,3.0,medium,medium,spring
2019-05-06,7.4,9.8,11.0,3.24,255.0,38.75,56.67,2.0,high,medium,spring
2019-05-08,8.7,9.4,173.75,3.32,101.25,267.75,391.75,3.5,medium,medium,spring
2019-05-10,7.8,10.5,70.0,2.44,98.33,144.67,244.0,9.0,high,medium,spring
2019-05-12,8.9,4.5,57.75,0.27,155.0,97.33,235.67,98.82,low,medium,spring
2019-05-14,7.8,6.5,82.11,2.6,215.56,12.89,154.13,5.2,medium,medium,spring
2019-05-16,8.2,11.3,7.25,1.88,25.0,6.5,26.0,0.3,high,medium,spring
2019-05-18,7.8,6.0,53.43,0.38,118.57,37.86,102.57,1.2,medium,medium,spring
2019-05-20,8.4,5.3,74.67,3.9,131.67,261.6,432.91,24.92,low,medium,spring
2019-05-22,8.1,7.1,42.64,5.08,56.36,166.73,262.73,17.2,medium,medium,spring
2019-05-24,8.3,9.7,10.56,1.92,65.56,61.56,127.22,5.23,high,medium,spring
2019-05-26,9.0,6.9,28.33,2.95,76.67,102.33,277.33,110.46,medium,medium,spring
2019-05-28,8.3,7.7,10.08,1.21,103.33,48.67,82.44,2.0,high,medium,spring
2019-05-30,7.9,8.3,391.5,6.05,380.0,173.0,317.0,5.5,medium,medium,spring
2019-06-01,8.0,9.2,39.0,4.86,120.0,187.0,213.0,2.0,medium,medium,spring
2019-06-03,7.8,9.5,8.3,1.67,34.0,16.8,35.2,1.0,high,medium,spring
2019-06-05,7.6,6.3,81.33,9.72,196.67,77.33,147.83,3.0,low,medium,spring
2019-06-07,8.4,4.9,47.0,0.54,91.83,109.0,188.67,32.0,high,medium,spring
2019-06-08,7.9,6.0,127.83,2.68,176.67,27.5,76.33,2.1,medium,medium,spring
2019-06-09,7.8,3.2,94.0,4.91,175.67,361.0,28.57,24.8,low,high,spring
2019-06-10,8.6,3.6,50.0,0.38,134.0,54.1,125.8,26.8,low,high,spring
2019-06-11,9.0,5.8,43.636842105263156,0.9,142.0,102.0,186.0,68.05,low,high,spring
2019-06-12,9.5,5.7,44.0,0.1,146.67,151.33,252.5,93.68,low,high,spring
2019-06-13,9.1,4.3,82.86,0.86,137.27,102.36,232.9,54.37,low,high,spring
2019-06-14,8.5,7.3,71.44,2.51,66.67,64.39,137.78,9.38,medium,high,spring
2019-06-15,8.6,10.6,208.36,4.46,197.91,87.33,194.1,27.62,medium,high,spring
2019-06-16,8.1,10.7,3.5,1.01,12.5,12.75,11.0,0.6,high,high,spring
2019-06-17,8.6,10.1,2.11,0.66,11.11,3.22,7.0,1.3,medium,high,spring
2019-06-18,8.5,7.6,12.78,1.87,17.78,50.89,127.0,24.56,medium,high,spring
2019-06-19,8.2,8.2,7.33,1.0,37.78,19.11,120.89,5.11,medium,high,spring
2019-06-20,8.3,10.6,14.32,3.2,125.33,35.33,75.9,4.67,medium,high,spring
2019-06-21,8.15,10.3,73.25,1.54,110.0,61.25,111.75,3.2,high,low,summer
2019-06-23,7.45,11.7,8.69,1.59,18.43,10.67,19.0,0.6,high,low,summer
2019-06-25,7.72,11.8,6.3,1.47,8.0,16.0,15.0,0.5,high,low,summer
2019-06-27,7.35,10.4,7.0,1.72,49.0,41.5,61.5,0.8,high,low,summer
2019-06-29,7.77,10.7,12.54,3.98,58.5,9.0,44.14,3.0,high,low,summer
2019-07-01,7.8,11.3,20.08,3.02,49.5,53.0,130.75,5.8,high,low,summer
2019-07-03,8.66,8.4,30.52,3.44,58.88,84.46,3.6,18.3,medium,low,summer
2019-07-05,8.15,7.1,54.19,3.83,647.57,59.43,175.05,13.2,medium,low,summer
2019-07-07,8.0,7.9,27.23,1.65,28.33,7.3,22.9,4.5,medium,low,summer
2019-07-09,6.6,10.8,43.636842105263156,2.64,10.0,2.0,11.0,13.541010638297873,high,low,summer
2019-07-11,6.4,9.117777777777778,43.636842105263156,3.282828282828283,154.44747474747476,83.32590909090908,14.0,13.541010638297873,medium,low,summer
2019-07-13,7.19,11.7,4.33,1.47,160.0,2.5,7.2,0.3,high,low,summer
2019-07-15,7.0,12.1,3.14,1.21,16.2,1.8,2.5,0.5,high,low,summer
2019-07-17,7.8,7.1,32.54,1.72,151.13,279.07,13.1,25.5,medium,low,summer
2019-07-19,7.93,10.2,34.04,9.08,109.0,55.0,58.62,11.6,medium,medium,summer
2019-07-21,7.4,11.17,12.15,6.19,89.6,32.0,69.93,3.1,high,medium,summer
2019-07-23,7.4,10.77,36.25,3.73,429.2,57.6,169.0,3.2,medium,medium,summer
2019-07-25,7.6,9.7,53.1,7.16,282.17,624.73,6.8,0.0,medium,medium,summer
2019-07-27,8.1,10.7,94.41,4.7,153.0,191.75,265.25,7.3,medium,medium,summer
2019-07-29,7.9,11.8,63.51,4.94,137.0,159.5,218.0,6.5,high,medium,summer
2019-07-31,7.8,8.2,85.98,6.2,421.67,31.33,211.67,21.9,high,medium,summer
2019-08-02,7.5,8.8,58.33,8.69,758.75,104.5,292.63,3.0,low,medium,summer
2019-08-04,7.7,11.1,47.23,8.76,239.0,54.0,275.14,65.7,low,medium,summer
2019-08-06,8.16,11.1,32.06,5.69,461.88,71.0,132.55,15.0,high,medium,summer
2019-08-08,8.5,11.8,7.84,1.73,206.54,8.69,16.66,2.1,high,medium,summer
2019-08-10,8.0,9.7,57.85,0.46,217.75,37.0,87.0,3.0,medium,medium,summer
2019-08-12,8.6,11.62,1.55,0.45,25.83,16.83,18.29,1.4,high,medium,summer
2019-08-14,8.2,6.6,131.4,4.19,92.0,238.2,320.4,6.8,low,medium,summer
2019-08-16,8.1,9.0,48.43,6.64,128.57,181.0,222.29,6.43,medium,medium,summer
2019-08-18,8.6,10.7,12.0,2.23,43.75,62.63,89.63,2.15,high,medium,summer
2019-08-20,8.3,10.0,30.13,3.73,102.5,75.88,177.63,50.23,medium,medium,summer
2019-08-22,7.3,10.5,11.09,1.37,92.38,48.63,66.75,3.3,high,medium,summer
2019-08-24,8.1,6.2,39.0,0.67,112.86,60.0,98.14,2.0,low,medium,summer
2019-08-26,8.1,6.2,51.11,5.1,175.0,132.5,197.14,6.4,medium,medium,summer
2019-08-28,7.7,4.4,53.0,2.31,90.0,22.2,116.2,16.0,high,medium,summer
2019-08-30,7.6,4.9,69.0,3.68,234.5,236.0,22.5,32.5,low,high,summer
2019-09-01,8.8,8.8,43.0,0.13,103.33,180.67,269.67,92.67,low,high,summer
2019-09-03,7.91,6.2,151.83,3.92,346.17,388.17,5.08,1.7,medium,high,summer
2019-09-05,8.4,10.29,5.33,1.0,53.85,7.67,14.35,0.8,high,high,summer
2019-09-07,8.2,9.5,2.2,0.67,10.0,3.8,6.2,0.8,medium,high,summer
2019-09-09,8.3,10.0,3.86,0.87,32.0,6.0,16.0,2.86,medium,high,summer
2019-09-11,8.1,10.2,7.61,0.7,32.5,26.63,52.88,2.0,high,high,summer
2019-09-13,8.4,8.2,23.25,2.81,43.75,51.13,87.13,14.78,low,high,summer
2019-09-15,8.5,7.9,12.44,2.59,96.67,19.11,61.44,6.17,medium,high,summer
2019-09-17,8.5,6.7,82.85,2.8,27.07,64.0,140.52,18.3,medium,high,summer
